fingerprint,minutia,dA0,dA1,dA2,dA3,dA4,dA5,dA6,dA7,dR0,dR1,dR2,dR3,dR4,dR5,dR6,dR7,rA30,rA60,rA90,rR30,rR60,rR90,B1,B2,B3,B4,B5,B6,B7,B8,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,score_change
B102X0I_1_1,v1,16.55294535724685,48.05205510693585,49.64876634922564,49.64876634922564,53.31041174104736,53.71219600798314,62.03224967708329,71.17583859709698,0.09604184690808257,0.2788028366310433,0.2880671151856314,0.2880671151856314,0.30931234849989875,0.3116435410594289,0.3599173257852943,0.4129693445223666,1,6,8,1,5,2,343.0,7.0,342.0,331.0,353.0,350.0,165.0,342.0,278.01689347810003,337.7099187946287,199.01147838636544,181.70991879462872,323.20011484134733,27.0,259.7998851586526,196.0,16.198590513648185,16.690689402827388,194.17910714668918,193.6906894028274,144.22774531795417,37.59464336859145,337.97173633351485,34.59464336859145,-0.46345
B102X0I_1_1,v2,30.870698080866262,35.05709628591621,40.0,51.97114584074513,53.75872022286245,83.81527307120105,85.86617494683223,87.09190547921202,0.12160039606321518,0.1380907157339559,0.15756092815871037,0.20471554940348757,0.21175684637346603,0.33015030547435503,0.3382288555515272,0.34305703656038294,0,5,8,0,5,3,347.0,358.0,344.0,170.0,347.0,330.0,348.0,5.0,227.09523119190482,292.23635830927384,176.27048792318357,123.23635830927381,249.0,349.8855270546588,44.98163257239092,355.8855270546587,208.507435758775,84.68038349181984,215.4841269904173,247.68038349181984,189.2666383570831,278.01689347810003,195.31281836080632,115.01689347810003,-0.082363
B102X0I_1_1,v3,12.165525060596439,53.71219600798314,56.43580423808985,65.0,69.6419413859206,79.25906888173743,83.95236744726142,88.52683209061533,0.08664499511835964,0.38254764490040916,0.40194565860113063,0.4629413572074184,0.4960020748270395,0.564496937217043,0.5979234296432476,0.6305035661123493,1,3,8,1,2,5,17.0,10.0,353.0,330.0,341.0,127.0,156.0,142.0,87.53767779197437,199.01147838636544,24.179107146689205,12.011478386365468,350.1250163489018,52.9439052634246,260.51023740611555,209.9439052634246,309.9624889745782,336.96448710125316,326.47588900324575,302.9644871012531,68.38075692880717,130.68718163919368,353.79478406898653,296.6871816391937,-0.637056
B102X0I_1_1,v4,34.058772731852805,35.05709628591621,37.05401462729781,43.93176527297759,51.66236541235796,53.31041174104736,55.31726674375732,75.58438992278762,0.15218008206158334,0.1566407524908292,0.16556330526318805,0.19629420287653015,0.23083576938740874,0.2381995058178377,0.24716645719340732,0.33772322777406194,0,7,8,0,7,1,349.0,2.0,349.0,172.0,346.0,7.0,350.0,338.0,292.23635830927384,227.09523119190482,358.27048792318357,60.095231191904816,248.90594194108292,133.3895403340348,86.82148834060725,136.3895403340348,291.6467031338917,327.55895613123255,203.19859051364818,168.55895613123258,203.6012946450045,88.70863782901577,215.1129737336733,256.70863782901574,-0.456768
B102X0I_1_1,v5,16.55294535724685,33.24154027718932,40.01249804748511,51.478150704935004,54.230987451824994,55.31726674375732,56.43580423808985,63.89053137985315,0.09813213541866689,0.1970684528707205,0.2372092574519334,0.30518199311686944,0.321501852972688,0.32794172843157293,0.33457284274360327,0.3787672913807733,1,7,8,1,6,1,17.0,348.0,359.0,182.0,24.0,10.0,7.0,342.0,115.01689347810003,108.79988515865267,256.70863782901574,259.7998851586526,340.56790381583534,133.3895403340348,157.18470645323313,136.3895403340348,181.70991879462872,204.89613292503924,33.60129464500449,10.896132925039296,177.1250163489018,152.05755291084134,285.07960786001456,307.0575529108413,-0.524792
B102X0I_1_1,v6,12.529964086141668,26.40075756488817,37.013511046643494,37.05401462729781,40.01249804748511,41.0,43.840620433565945,49.64876634922564,0.06195668492459846,0.13054334449590313,0.1830200331065903,0.18322031042324224,0.197849069441149,0.202731952338001,0.21677791639527033,0.24549734958906733,2,8,8,2,6,0,183.0,360.0,357.0,11.0,1.0,343.0,349.0,18.0,136.3895403340348,37.59464336859145,6.62356478616357,34.59464336859145,337.45184230102205,291.6467031338917,79.90594194108292,125.64670313389169,161.56790381583534,123.07960786001456,247.68038349181984,285.07960786001456,196.0,259.7998851586526,161.20011484134733,108.79988515865267,-0.276528
B102X0I_1_1,v7,17.69180601295413,21.400934559032695,26.40075756488817,30.870698080866262,34.058772731852805,53.16013544000805,64.77653896280658,69.20260110718382,0.0773956503531495,0.09362182962828886,0.11549435936920303,0.13504883294983724,0.14899557817227668,0.23255756095383098,0.28337538615230473,0.3027379067404633,3,6,8,3,3,2,357.0,183.0,360.0,13.0,11.0,343.0,1.0,349.0,296.29061004263855,349.8855270546588,37.59464336859145,355.8855270546587,186.62356478616363,208.507435758775,60.095231191904816,41.50743575877499,123.23635830927381,88.19442890773485,218.6104596659652,240.1944289077348,171.88065915052024,88.70863782901577,188.3666694127687,256.70863782901574,-0.165558
B102X0I_1_1,v8,17.69180601295413,26.476404589747453,37.013511046643494,40.0,48.010415536631214,51.66236541235796,74.32361670424818,77.02596964660685,0.07526724633624325,0.11264005861783749,0.15746866383664318,0.17017425192460683,0.20425341371339345,0.21979010966759244,0.31619914682441613,0.3276959190844698,2,6,8,2,4,2,3.0,186.0,3.0,16.0,346.0,14.0,352.0,4.0,119.29061004263852,34.59464336859145,355.8855270546587,37.59464336859145,160.45184230102203,208.507435758775,85.0,41.50743575877499,199.32359177813802,240.1944289077348,125.64670313389169,88.19442890773485,174.80594351845772,256.70863782901574,161.51213247117224,88.70863782901577,-0.130058
B102X0I_1_1,v9,33.24154027718932,41.0,43.840620433565945,44.553338819890925,48.76474136094644,48.877397639399746,49.64876634922564,69.20260110718382,0.20681656057172193,0.25508682548201,0.2727601144770751,0.27719438449244826,0.3033961724198805,0.3040970780891798,0.308896248710293,0.4305529715007159,0,7,8,0,7,1,12.0,354.0,11.0,349.0,350.0,194.0,29.0,11.0,88.70863782901577,123.07960786001456,312.31961650818016,285.07960786001456,27.0,26.541643541999576,184.09061955080085,184.54164354199958,215.5387822595581,193.62419250445183,195.7627195342389,217.6241925044518,108.79988515865267,175.97173633351485,19.366669412768715,337.97173633351485,-0.71069
B102X0I_1_1,v10,34.058772731852805,41.0,41.0,48.010415536631214,53.16013544000805,63.89053137985315,65.21502894272147,75.28612089887484,0.17447693024138886,0.21003558161702993,0.21003558161702993,0.24594867197345432,0.27232975526785796,0.32729963215094043,0.3340847935159987,0.3856771753825661,0,5,8,0,5,3,200.0,17.0,6.0,14.0,17.0,18.0,356.0,355.0,251.6335393365702,136.3895403340348,84.68038349181984,133.3895403340348,138.3196165081802,174.80594351845772,33.32359177813805,2.8059435184576955,55.61045966596521,350.8806591505202,123.07960786001456,171.88065915052024,176.63980919808668,280.8990924537878,156.99082329198617,99.89909245378777,-0.087762
B102X0I_1_1,v11,24.839484696748443,35.4400902933387,48.76474136094644,65.21502894272147,79.1012010022604,88.81441324469807,89.55445270895244,90.60353193998566,0.17455410565915985,0.24904756846438933,0.3426836715769109,0.4582845091840053,0.5558665796043037,0.6241240775659364,0.629324544822502,0.6366967221914864,1,3,7,1,2,4,359.0,185.0,10.0,4.0,22.0,29.0,21.0,204.0,99.89909245378777,20.018360631150642,342.3895403340348,26.018360631150657,45.538782259558104,138.3196165081802,0.6398091980867093,312.31961650818016,70.10142320071827,350.1250163489018,115.8376529542783,177.1250163489018,42.57254359681025,133.3895403340348,217.6241925044518,136.3895403340348,0.182613
B102X0I_1_1,v12,24.839484696748443,30.01666203960727,44.553338819890925,65.0,67.06713054842886,74.73285756613352,75.28612089887484,79.62411694957753,0.17476567862038128,0.21119126967868634,0.31346843900836946,0.4573270842374524,0.47187100402900833,0.5258055361146565,0.5296981869881655,0.5602194652235724,1,3,8,1,2,5,1.0,186.0,11.0,30.0,23.0,47.0,5.0,40.0,280.8990924537878,337.3895403340348,26.018360631150657,342.3895403340348,15.090619550800852,309.9624889745782,110.51023740611555,148.96248897457818,52.9439052634246,337.7099187946287,121.5074052301297,181.70991879462872,341.99082329198615,280.0,78.40782458970892,135.0,0.15578
B102X0I_1_1,v13,12.529964086141668,21.400934559032695,26.476404589747453,34.058772731852805,43.93176527297759,48.877397639399746,51.478150704935004,51.97114584074513,0.059856136908249105,0.10223311576341397,0.12647883801318346,0.16270011227083045,0.2098637904085274,0.23348927297075134,0.24591317382832853,0.24826823120449365,3,8,8,3,5,0,177.0,177.0,174.0,160.0,188.0,166.0,178.0,190.0,133.3895403340348,186.62356478616363,34.59464336859145,6.62356478616357,349.8855270546588,33.32359177813805,231.6335393365702,199.32359177813802,94.82148834060723,57.1129737336733,181.76271953423893,215.1129737336733,155.18470645323313,189.2666383570831,54.981632572390936,21.26663835708308,-0.769864
B102X0I_1_1,v14,30.01666203960727,35.4400902933387,73.87827826905551,83.95236744726142,87.09190547921202,95.35197952848173,96.77293009927931,97.04638066409278,0.17519784123366716,0.20685269082639207,0.43120433743498343,0.4900036361074422,0.5083281348456082,0.5565395961983984,0.5648332389816964,0.5664292841574136,0,2,5,0,2,3,174.0,175.0,185.0,204.0,346.0,221.0,197.0,331.0,20.018360631150642,99.89909245378777,337.3895403340348,280.8990924537878,21.492324557127404,309.9624889745782,92.38075692880716,148.96248897457818,296.6871816391937,358.23640760285616,106.65989307844234,53.23640760285616,49.87915133757525,3.2036151683251433,270.6989828041811,317.20361516832514,0.192721
B102X0I_1_1,v15,20.223748416156685,34.88552708502482,87.09190547921202,88.52683209061533,98.3107318658548,99.04544411531506,118.71394189394942,135.34031180694095,0.09006854644596451,0.15536628778665518,0.38787277077948723,0.39426336422864616,0.43783696953639484,0.4411090862084982,0.5287047667541493,0.602752017536784,1,2,4,1,1,2,345.0,325.0,14.0,218.0,235.0,188.0,189.0,199.0,215.5307656099481,192.69972255081439,339.7004277886672,352.6997225508144,130.68718163919368,68.38075692880717,31.79478406898653,92.38075692880716,53.23640760285616,121.5074052301297,321.7357045889284,254.50740523012973,314.7131066382635,215.5387822595581,345.54963277012234,45.538782259558104,-0.452585
B102X0I_1_1,v16,20.223748416156685,52.630789467763066,79.25906888173743,87.41853350405736,97.04638066409278,103.40696301506973,125.41929676090518,132.83448347473634,0.09244327158956114,0.24057668561850354,0.36229523230800764,0.3995923539189519,0.44360148968959356,0.47267587440006525,0.5732948153062258,0.6071898235494242,1,2,4,1,1,2,15.0,340.0,233.0,250.0,29.0,203.0,204.0,243.0,50.53076560994813,194.70042778866718,352.6997225508144,339.7004277886672,19.475889003245754,250.53767779197437,42.690059825013975,87.53767779197437,119.69898280418111,26.018360631150657,310.5376777919744,20.018360631150642,305.74488129694225,232.827968244305,27.33666485581398,91.827968244305,0.156432
B102X0I_1_1,v17,34.88552708502482,52.630789467763066,100.31948963187563,119.9208072020865,121.75385004179539,132.13629327327143,135.20355024924456,160.72958657322553,0.1374149006705585,0.20731390095666066,0.39516079747016114,0.4723708422075627,0.479591240487043,0.5204879252897051,0.5325699216905952,0.6331175710760801,0,2,2,0,2,0,35.0,20.0,49.0,223.0,253.0,270.0,224.0,234.0,194.70042778866718,50.53076560994813,192.69972255081439,215.5307656099481,150.57392125990089,26.018360631150657,336.4704284396086,20.018360631150642,37.663000766067114,250.53767779197437,57.52754015165618,87.53767779197437,328.6506509553594,215.5387822595581,354.85390582059233,45.538782259558104,-0.002922
B104X8I_1_1,v0,74.30343195303969,77.82030583337487,86.27861844049197,99.76472322419383,115.6027681329474,117.72000679578642,119.28118040998756,119.87076374162301,0.5353334327744178,0.5606714301926851,0.6216109777267596,0.7187742254913774,0.8328824803401843,0.8481365353897097,0.8593843123507434,0.8636320793856559,0,0,3,0,0,3,176.0,300.0,97.0,282.0,287.0,324.0,259.0,282.0,293.02029230207125,9.642545294064718,21.90650799951436,313.64254529406475,198.93919094573562,357.77514056883194,20.969085763146893,2.7751405688319437,283.11373315098245,356.46520809481166,283.6598082540901,213.46520809481171,349.7559125535414,52.90716270295843,318.506938088849,255.90716270295846,-0.224236
B104X8I_1_1,v1,56.00892785976178,69.72087205421343,73.00684899377592,117.72000679578642,147.6651617681029,172.30786401090347,188.48076824970764,193.31321734428818,0.22118573576950212,0.27533578972293693,0.2883124928106764,0.46488992581882915,0.583146807147958,0.6804636892095134,0.7443323590856165,0.7634162596242905,0,1,3,0,1,2,148.0,336.0,323.0,36.0,318.0,336.0,212.0,133.0,169.0230301886678,307.7636416907262,347.7536791855315,315.76364169072616,356.46520809481166,283.11373315098245,139.65980825409008,176.11373315098245,9.42956561483851,278.1600608380871,57.20377421489076,116.16006083808708,306.9315118405078,44.874983651098205,220.813322106552,145.8749836510982,0.124904
B104X8I_1_1,v2,17.029386365926403,27.073972741361768,69.72087205421343,104.0096149401583,138.7984149765407,161.60754932861275,189.04232330353963,193.03885619221847,0.06676907328104942,0.10615203807895862,0.27336264004913857,0.40780245703793877,0.5442029055964754,0.6336333014020469,0.7411999743648557,0.756869640410383,2,2,3,2,0,1,172.0,347.0,24.0,342.0,60.0,360.0,157.0,236.0,307.7636416907262,34.847610265994604,68.76360520094119,29.847610265994547,191.75367918553147,231.4295656148385,34.76828893202065,9.42956561483851,169.7948353798778,261.90650799951436,81.03025927188969,21.90650799951436,241.78757191005508,145.8749836510982,327.94686305397346,44.874983651098205,0.066781
B104X8I_1_1,v3,29.732137494637012,34.132096331752024,44.04543109109048,46.010868281309364,77.82030583337487,85.58621384311844,88.09086218218096,95.90099061010788,0.1725524117271606,0.19808786167526388,0.2556205507155688,0.2670270944708469,0.4516352534464154,0.49670521037683246,0.5112411014311375,0.5565676944613471,1,4,7,1,3,3,157.0,342.0,319.0,236.0,60.0,342.0,319.0,143.0,262.6538240580533,357.77514056883194,62.95754893082909,2.7751405688319437,5.527540151656183,317.7702157972002,9.642545294064718,54.770215797200194,261.90650799951436,216.50693808884898,278.1600608380871,318.506938088849,47.602562202499826,293.1985905136482,240.42710159394517,297.1985905136482,-0.201422
B104X8I_1_1,v4,21.93171219946131,27.073972741361768,73.00684899377592,81.39410298049853,115.6027681329474,134.5362404707371,162.01234520862909,166.4602054546371,0.09614641714928339,0.1186895693963754,0.3200546721693133,0.3568235488174498,0.5067908910821495,0.5897933266839744,0.7102458022472663,0.7297447735425812,2,2,4,2,0,2,185.0,13.0,37.0,355.0,73.0,13.0,170.0,249.0,34.847610265994604,307.7636416907262,261.76360520094113,315.76364169072616,213.46520809481171,231.4295656148385,25.48955292199912,9.42956561483851,176.11373315098245,261.90650799951436,80.88268515002733,21.90650799951436,242.2926806314557,145.8749836510982,329.59464336859145,44.874983651098205,0.066781
B104X8I_1_1,v5,81.39410298049853,85.58621384311844,103.32473082471591,104.0096149401583,109.03669107231748,114.94781424629178,115.16944039110375,119.87076374162301,0.4545241924109656,0.47793394489372315,0.5769900780826415,0.5808146352442473,0.6088870340481943,0.6418961635613747,0.6431337771082916,0.6693870942517898,0,0,2,0,0,2,5.0,18.0,190.0,18.0,337.0,175.0,360.0,78.0,210.48955292199915,247.88268515002738,116.16006083808708,80.88268515002733,35.35329686610831,307.7636416907262,232.76828893202065,315.76364169072616,52.90716270295843,323.9726266148964,270.45674228459984,341.9726266148964,88.32313682966296,20.969085763146893,216.50693808884898,278.9690857631469,0.011141
B104X8I_1_1,v6,14.317821063276353,25.0,34.132096331752024,37.12142238654117,54.45181356024793,63.90618123468183,99.76472322419383,115.16944039110375,0.07018118149808514,0.12254165837791513,0.16730414753630587,0.18195682642375277,0.26690462141431315,0.3132467771639005,0.48901338526025667,0.5645221687992918,2,5,6,2,3,1,175.0,337.0,18.0,254.0,337.0,161.0,78.0,360.0,357.77514056883194,341.9726266148964,315.0,323.9726266148964,260.9575489308291,313.64254529406475,56.635463426902646,9.642545294064718,52.3860431512673,293.1985905136482,249.13630342824814,297.1985905136482,278.9690857631469,216.50693808884898,268.32313682966293,318.506938088849,-0.068921
B104X8I_1_1,v7,16.15549442140351,54.45181356024793,60.29925372672534,62.76941930590086,64.41273166075166,88.09086218218096,138.70832707519762,168.6801707374047,0.06418090180840005,0.21632061565194552,0.23955073002455024,0.249363952099482,0.255892335950581,0.34995839981483445,0.5510463058454201,0.670115391874278,1,2,6,1,1,4,184.0,23.0,198.0,360.0,277.0,41.0,101.0,23.0,297.1985905136482,249.13630342824814,255.38604315126727,268.13630342824814,57.28940686250037,341.9726266148964,255.65066795705286,323.9726266148964,114.24145939893997,9.642545294064718,268.6025622024998,313.64254529406475,297.5873385569274,216.50693808884898,264.17868361627967,318.506938088849,-0.162273
B104X8I_1_1,v8,25.0,38.47076812334269,44.04543109109048,62.07253821135398,62.76941930590086,76.21679604916491,109.03669107231748,119.28118040998756,0.11587742239358705,0.178315737905373,0.20415484092199693,0.2877122291743655,0.2909423405724021,0.3532722347709984,0.5053956283114398,0.5528798290389516,1,3,6,1,2,3,23.0,198.0,41.0,277.0,360.0,184.0,23.0,101.0,158.0,2.7751405688319437,341.9726266148964,357.77514056883194,226.52754015165618,313.64254529406475,54.770215797200194,9.642545294064718,75.65066795705286,293.1985905136482,267.07278187399083,297.1985905136482,255.90716270295846,318.506938088849,270.7559125535414,216.50693808884898,-0.384658
B104X8I_1_1,v9,24.186773244895647,37.12142238654117,46.010868281309364,62.07253821135398,64.41273166075166,64.76109943476871,74.30343195303969,130.20752666416791,0.12529484333875074,0.19230026078054208,0.2383502948002035,0.32155463120619215,0.33367754519127835,0.3354821962386828,0.38491438158466934,0.6745145989391573,1,3,7,1,2,4,281.0,106.0,124.0,83.0,83.0,267.0,184.0,106.0,145.8749836510982,357.77514056883194,342.6354634269027,2.7751405688319437,313.64254529406475,226.52754015165618,317.7702157972002,5.527540151656183,17.24145939893998,293.1985905136482,215.60750224624888,297.1985905136482,297.0202923020712,216.50693808884898,284.25383773744477,318.506938088849,-0.209058
